,School Year,DBN,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,PROSE SCHOOL,X Coordinate,Y Coordinate,Latitude,Longitude,School Name,School Pupil-Teacher Ratio,DISTRICT_x,SCHOOL_x,PRINCIPAL_x,PROGRESS REPORT TYPE_x,SCHOOL LEVEL*_x,PEER INDEX*_x,2010-2011 OVERALL GRADE_x,2010-2011 OVERALL SCORE_x,2010-2011 ENVIRONMENT CATEGORY SCORE_x,2010-2011 ENVIRONMENT GRADE_x,2010-2011 PERFORMANCE CATEGORY SCORE_x,2010-2011 PERFORMANCE GRADE_x,2010-2011 PROGRESS CATEGORY SCORE_x,2010-2011 PROGRESS GRADE_x,2010-2011 ADDITIONAL CREDIT_x,2009-10 PROGRESS REPORT GRADE_x,DISTRICT_y,SCHOOL_y,PRINCIPAL_y,PROGRESS REPORT TYPE_y,SCHOOL LEVEL*_y,PEER INDEX*_y,2010-2011 OVERALL GRADE_y,2010-2011 OVERALL SCORE_y,2010-2011 ENVIRONMENT CATEGORY SCORE_y,2010-2011 ENVIRONMENT GRADE_y,2010-2011 PERFORMANCE CATEGORY SCORE_y,2010-2011 PERFORMANCE GRADE_y,2010-2011 PROGRESS CATEGORY SCORE_y,2010-2011 PROGRESS GRADE_y,2010-2011 ADDITIONAL CREDIT_y,2009-10 PROGRESS REPORT GRADE_y
1890,2016-17,01M292,M292,Orchard Collegiate Academy,3.10100011292e+11,DOE,General Academic,Secondary School,"09,10,11,12,SE","06,07,08,09,10,11,12",09/08/2004,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988117.0,199174.0,40.713362,-73.986051,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8.9,1.0,Henry Street School for International Studies,Erin Balet,EMS,Middle,1.95,C,32.4,5.1,C,4.1,D,18.7,C,4.5,C,1.0,Henry Street School for International Studies,Erin Balet,EMS,Middle,1.95,C,32.4,5.1,C,4.1,D,18.7,C,4.5,C
1891,2016-17,01M292,M292,Orchard Collegiate Academy,3.10100011292e+11,DOE,General Academic,Secondary School,"09,10,11,12,SE","06,07,08,09,10,11,12",09/08/2004,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988117.0,199174.0,40.713362,-73.986051,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8.9,1.0,Henry Street School for International Studies,Erin Balet,EMS,Middle,1.95,C,32.4,5.1,C,4.1,D,18.7,C,4.5,C,1.0,Henry Street School for International Studies,Erin Balet,HS,High School,1.81,C,49.8,6.9,D,12.8,C,30.1,C,,D
1892,2016-17,01M292,M292,Orchard Collegiate Academy,3.10100011292e+11,DOE,General Academic,Secondary School,"09,10,11,12,SE","06,07,08,09,10,11,12",09/08/2004,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988117.0,199174.0,40.713362,-73.986051,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8.9,1.0,Henry Street School for International Studies,Erin Balet,HS,High School,1.81,C,49.8,6.9,D,12.8,C,30.1,C,,D,1.0,Henry Street School for International Studies,Erin Balet,EMS,Middle,1.95,C,32.4,5.1,C,4.1,D,18.7,C,4.5,C
1893,2016-17,01M292,M292,Orchard Collegiate Academy,3.10100011292e+11,DOE,General Academic,Secondary School,"09,10,11,12,SE","06,07,08,09,10,11,12",09/08/2004,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988117.0,199174.0,40.713362,-73.986051,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,8.9,1.0,Henry Street School for International Studies,Erin Balet,HS,High School,1.81,C,49.8,6.9,D,12.8,C,30.1,C,,D,1.0,Henry Street School for International Studies,Erin Balet,HS,High School,1.81,C,49.8,6.9,D,12.8,C,30.1,C,,D
1894,2016-17,01M301,M301,"Technology, Arts, and Sciences Studio",3.10100010301e+11,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2005,Open,M019,185 1 AVENUE,MANHATTAN,NY,10003,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988547.0,205239.0,40.730009,-73.984496,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",10.3,1.0,"Technology, Arts, and Sciences Studio",George Morgan,EMS,Middle,1.9,B,47.6,7.0,B,8.9,C,28.7,B,3.0,C,1.0,"Technology, Arts, and Sciences Studio",George Morgan,EMS,Middle,1.9,B,47.6,7.0,B,8.9,C,28.7,B,3.0,C
1895,2016-17,01M315,M315,The East Village Community School,3.10100010315e+11,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1999,Open,M061,610 EAST 12 STREET,MANHATTAN,NY,10009,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,990277.0,204339.0,40.727537,-73.978254,THE EAST VILLAGE COMMUNITY SCHOOL,12.3,1.0,The East Village Community School,Robin Williams,EMS,Elementary,35.33,C,38.2,8.6,A,12.2,B,16.4,C,1.0,C,1.0,The East Village Community School,Robin Williams,EMS,Elementary,35.33,C,38.2,8.6,A,12.2,B,16.4,C,1.0,C
1896,2016-17,01M332,M332,University Neighborhood Middle School,3.10100010332e+11,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",09/13/2004,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988117.0,199174.0,40.713362,-73.986051,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,9.5,1.0,University Neighborhood Middle School,Laura Peynado,EMS,Middle,1.78,C,39.3,10.6,A,5.3,D,22.4,C,1.0,B,1.0,University Neighborhood Middle School,Laura Peynado,EMS,Middle,1.78,C,39.3,10.6,A,5.3,D,22.4,C,1.0,B
1897,2016-17,01M361,M361,The Children's Workshop School,3.10100010361e+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1999,Open,M061,610 EAST 12 STREET,MANHATTAN,NY,10009,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,990277.0,204339.0,40.727537,-73.978254,THE CHILDREN'S WORKSHOP SCHOOL,12.5,1.0,The Children's Workshop School,Maria Velez Clarke,EMS,Elementary,32.99,B,42.0,7.7,B,4.4,D,27.9,B,2.0,C,1.0,The Children's Workshop School,Maria Velez Clarke,EMS,Elementary,32.99,B,42.0,7.7,B,4.4,D,27.9,B,2.0,C
1898,2016-17,01M363,M363,Neighborhood School,3.10100010363e+11,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1999,Open,M063,121 EAST 3 STREET,MANHATTAN,NY,10009,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,Y,988071.0,203210.0,40.72444,-73.986214,NEIGHBORHOOD SCHOOL,12.6,1.0,Neighborhood School,Milo Novelo,EMS,Elementary,31.12,C,27.0,5.1,C,6.2,C,13.2,D,2.5,C,1.0,Neighborhood School,Milo Novelo,EMS,Elementary,31.12,C,27.0,5.1,C,6.2,C,13.2,D,2.5,C
1899,2016-17,01M364,M364,Earth School,3.10100010364e+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",07/01/1999,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,Y,989351.0,202733.0,40.72313,-73.981597,EARTH SCHOOL,13.6,1.0,Earth School,Alison Gail Hazut,EMS,Elementary,31.6,C,31.4,11.1,A,3.8,D,13.5,D,3.0,D,1.0,Earth School,Alison Gail Hazut,EMS,Elementary,31.6,C,31.4,11.1,A,3.8,D,13.5,D,3.0,D
1900,2016-17,01M378,M378,School for Global Leaders,3.10100010378e+11,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2008,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,N,988120.0,201607.0,40.72004,-73.986038,SCHOOL FOR GLOBAL LEADERS,11.8,1.0,School for Global Leaders,Carry Chan,EMS,Middle,2.23,B,53.8,8.6,B,12.9,B,27.3,B,5.0,B,1.0,School for Global Leaders,Carry Chan,EMS,Middle,2.23,B,53.8,8.6,B,12.9,B,27.3,B,5.0,B
1901,2016-17,01M448,M448,University Neighborhood High School,3.10100011448e+11,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",06/04/1999,Open,M446,200 MONROE STREET,MANHATTAN,NY,10002,1,1,HS04,,N,988650.0,198776.0,40.712269,-73.984128,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,13.5,1.0,University Neighborhood High School,Elizabeth Collins,HS,High School,2.03,C,57.6,6.9,D,13.9,C,35.8,B,1.0,C,1.0,University Neighborhood High School,Elizabeth Collins,HS,High School,2.03,C,57.6,6.9,D,13.9,C,35.8,B,1.0,C
1902,2016-17,01M450,M450,East Side Community School,3.1010001145e+11,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",06/05/1996,Open,M060,420 EAST 12 STREET,MANHATTAN,NY,10009,1,1,HS12,,Y,989108.0,204927.0,40.729152,-73.982472,EAST SIDE COMMUNITY SCHOOL,14.5,1.0,East Side Community School,Mark Federman,EMS,Middle,1.99,A,63.5,12.5,A,14.6,A,27.9,B,8.5,A,1.0,East Side Community School,Mark Federman,EMS,Middle,1.99,A,63.5,12.5,A,14.6,A,27.9,B,8.5,A
